,close,open,high,low,vol,pct_chg
2018-12-13,170.42,170.83,172.53,169.64,24.93M,0.78%
2018-12-12,169.1,170.36,171.91,169.1,35.63M,0.28%
2018-12-11,168.63,171.66,171.79,167.0,47.28M,-0.57%
2018-12-10,169.6,165.0,170.09,163.33,62.03M,0.66%
2018-12-07,168.49,173.49,174.49,168.3,42.28M,-3.57%
2018-12-06,174.72,171.76,174.78,170.42,43.10M,-1.11%
2018-12-04,176.69,180.95,182.39,176.27,41.34M,-4.40%
2018-12-03,184.82,184.46,184.94,181.21,40.80M,3.49%
2018-11-30,178.58,180.29,180.33,177.03,39.53M,-0.54%
2018-11-29,179.55,182.66,182.8,177.7,41.77M,-0.77%
2018-11-28,180.94,176.73,181.29,174.93,46.06M,3.85%
2018-11-27,174.24,171.51,174.77,170.88,41.39M,-0.22%
2018-11-26,174.62,174.24,174.95,170.26,45.00M,1.35%
2018-11-23,172.29,174.94,176.59,172.1,23.62M,-2.54%
2018-11-21,176.78,179.73,180.27,176.55,31.12M,-0.11%
2018-11-20,176.98,178.37,181.47,175.51,67.83M,-4.78%
2018-11-19,185.86,190.0,190.7,184.99,41.92M,-3.96%
2018-11-16,193.53,190.5,194.97,189.46,36.93M,1.11%
2018-11-15,191.41,188.39,191.97,186.9,46.48M,2.47%
2018-11-14,186.8,193.9,194.48,185.93,60.80M,-2.82%
2018-11-13,192.23,191.63,197.18,191.45,46.88M,-1.00%
2018-11-12,194.17,199.0,199.85,193.79,51.14M,-5.04%
2018-11-09,204.47,205.55,206.01,202.25,34.37M,-1.93%
2018-11-08,208.49,209.98,210.12,206.75,25.36M,-0.70%
2018-11-07,209.95,205.97,210.06,204.13,33.42M,3.03%
2018-11-06,203.77,201.92,204.72,201.69,31.88M,1.08%
2018-11-05,201.59,204.3,204.39,198.17,66.16M,-2.84%
2018-11-02,207.48,209.55,213.65,205.43,91.33M,-6.63%
2018-11-01,222.22,219.05,222.36,216.81,58.32M,1.54%
2018-10-31,218.86,216.88,220.45,216.62,38.36M,2.61%
2018-10-30,213.3,211.15,215.18,209.27,36.66M,0.50%
2018-10-29,212.24,219.19,219.69,206.09,45.94M,-1.88%
2018-10-26,216.3,215.9,220.19,212.67,47.26M,-1.59%
2018-10-25,219.8,217.71,221.38,216.75,29.86M,2.19%
2018-10-24,215.09,222.6,224.23,214.54,40.93M,-3.43%
2018-10-23,222.73,215.83,223.25,214.7,38.77M,0.94%
2018-10-22,220.65,219.79,223.36,218.94,28.79M,0.61%
2018-10-19,219.31,218.06,221.26,217.43,33.08M,1.52%
2018-10-18,216.02,217.86,219.74,213.0,32.58M,-2.34%
2018-10-17,221.19,222.3,222.64,219.34,22.89M,-0.43%
2018-10-16,222.15,218.93,222.99,216.76,29.18M,2.20%
2018-10-15,217.36,221.16,221.83,217.27,30.79M,-2.14%
2018-10-12,222.11,220.42,222.88,216.84,40.34M,3.57%
2018-10-11,214.45,214.52,219.5,212.32,53.12M,-0.88%
2018-10-10,216.36,225.46,226.35,216.05,41.99M,-4.63%
2018-10-09,226.87,223.64,227.27,222.25,26.89M,1.39%
2018-10-08,223.77,222.21,224.8,220.2,29.66M,-0.23%
2018-10-05,224.29,227.96,228.41,220.58,33.58M,-1.62%
2018-10-04,227.99,230.78,232.35,226.73,32.04M,-1.76%
2018-10-03,232.07,230.05,233.47,229.78,28.65M,1.22%
2018-10-02,229.28,227.25,230.0,226.63,24.79M,0.89%
2018-10-01,227.26,227.95,229.42,226.35,23.60M,0.67%
2018-09-28,225.74,224.79,225.84,224.02,22.93M,0.35%
2018-09-27,224.95,223.82,226.44,223.54,30.18M,2.06%
2018-09-26,220.42,221.0,223.75,219.76,23.98M,-0.80%
2018-09-25,222.19,219.75,222.82,219.7,24.55M,0.63%
2018-09-24,220.79,216.82,221.26,216.63,27.69M,1.44%
2018-09-21,217.66,220.78,221.36,217.29,96.25M,-1.08%
2018-09-20,220.03,220.24,222.28,219.15,26.61M,0.76%
2018-09-19,218.37,218.5,219.62,215.3,27.12M,0.06%
2018-09-18,218.24,217.79,221.85,217.12,31.57M,0.17%
2018-09-17,217.88,222.15,222.95,217.27,37.20M,-2.66%
2018-09-14,223.84,225.75,226.84,222.52,32.00M,-1.14%
2018-09-13,226.41,223.52,228.35,222.57,41.71M,2.42%
2018-09-12,221.07,224.94,225.0,219.84,49.28M,-1.24%
2018-09-11,223.85,218.01,224.3,216.56,35.75M,2.53%
2018-09-10,218.33,220.95,221.85,216.47,39.52M,-1.34%
2018-09-07,221.3,221.85,225.37,220.71,37.62M,-0.81%
2018-09-06,223.1,226.23,227.35,221.3,34.29M,-1.66%
2018-09-05,226.87,228.99,229.67,225.1,33.33M,-0.65%
2018-09-04,228.36,228.41,229.18,226.63,27.39M,0.32%
2018-08-31,227.63,226.51,228.87,226.0,43.34M,1.16%
2018-08-30,225.03,223.25,228.26,222.4,48.79M,0.92%
2018-08-29,222.98,220.15,223.49,219.41,27.25M,1.49%
2018-08-28,219.7,219.01,220.54,218.92,22.78M,0.81%
2018-08-27,217.94,217.15,218.74,216.33,20.53M,0.82%
2018-08-24,216.16,216.6,216.9,215.11,18.48M,0.31%
2018-08-23,215.49,214.65,217.05,214.6,18.88M,0.20%
2018-08-22,215.05,214.1,216.36,213.84,19.02M,0.00%
2018-08-21,215.04,216.8,217.19,214.03,26.16M,-0.19%
2018-08-20,215.46,218.1,219.18,215.11,30.29M,-0.97%
2018-08-17,217.58,213.44,217.95,213.16,35.43M,2.00%
2018-08-16,213.32,211.75,213.81,211.47,28.50M,1.46%
2018-08-15,210.24,209.22,210.74,208.33,28.81M,0.23%
2018-08-14,209.75,210.16,210.56,208.26,20.75M,0.42%
2018-08-13,208.87,207.7,210.95,207.7,25.89M,0.65%
2018-08-10,207.53,207.36,209.1,206.67,24.61M,-0.65%
2018-08-09,208.88,207.28,209.78,207.2,23.49M,0.79%
2018-08-08,207.25,206.05,207.81,204.52,22.53M,0.07%
2018-08-07,207.11,209.32,209.5,206.76,25.59M,-0.94%
2018-08-06,209.07,208.0,209.25,207.07,25.43M,0.52%
2018-08-03,207.99,207.03,208.74,205.48,33.45M,0.29%
2018-08-02,207.39,200.58,208.38,200.35,62.40M,2.92%
2018-08-01,201.5,199.13,201.76,197.31,67.94M,5.89%
2018-07-31,190.29,190.3,192.14,189.34,39.37M,0.20%
2018-07-30,189.91,191.9,192.2,189.07,21.03M,-0.56%
2018-07-27,190.98,194.99,195.19,190.1,24.02M,-1.66%
2018-07-26,194.21,194.61,195.96,193.61,19.08M,-0.31%
2018-07-25,194.82,193.06,194.85,192.43,16.83M,0.94%
2018-07-24,193.0,192.45,193.66,192.05,18.70M,0.73%
2018-07-23,191.61,190.68,191.96,189.56,15.99M,0.09%
2018-07-20,191.44,191.78,192.43,190.17,20.71M,-0.23%
2018-07-19,191.88,189.69,192.55,189.69,20.29M,0.78%
2018-07-18,190.4,191.78,191.8,189.93,16.39M,-0.55%
2018-07-17,191.45,189.75,191.87,189.2,15.53M,0.28%
2018-07-16,190.91,191.52,192.65,190.41,15.04M,-0.22%
2018-07-13,191.33,191.08,191.84,190.9,12.52M,0.16%
2018-07-12,191.03,189.53,191.41,189.31,18.04M,1.68%
2018-07-11,187.88,188.5,189.78,187.61,18.83M,-1.30%
2018-07-10,190.35,190.71,191.28,190.18,15.94M,-0.12%
2018-07-09,190.58,189.5,190.68,189.3,19.76M,1.39%
2018-07-06,187.97,185.42,188.43,185.2,17.49M,1.39%
2018-07-05,185.4,185.26,186.41,184.28,16.60M,0.80%
2018-07-03,183.92,187.79,187.95,183.54,13.95M,-1.74%
2018-07-02,187.18,183.82,187.3,183.42,17.73M,1.12%
2018-06-29,185.11,186.29,187.19,182.91,22.74M,-0.21%
2018-06-28,185.5,184.1,186.21,183.8,17.37M,0.73%
2018-06-27,184.16,185.23,187.28,184.03,25.29M,-0.15%
2018-06-26,184.43,182.99,186.53,182.54,24.57M,1.24%
2018-06-25,182.17,183.4,184.92,180.73,31.66M,-1.49%
2018-06-22,184.92,186.12,186.15,184.7,27.20M,-0.29%
2018-06-21,185.46,187.25,188.35,184.94,25.71M,-0.56%
2018-06-20,186.5,186.35,187.2,185.73,20.63M,0.44%
2018-06-19,185.69,185.14,186.33,183.45,33.58M,-1.62%
2018-06-18,188.74,187.88,189.22,187.2,18.48M,-0.05%
2018-06-15,188.84,190.03,190.16,188.26,61.72M,-1.03%
2018-06-14,190.8,191.55,191.57,190.22,21.61M,0.05%
2018-06-13,190.7,192.42,192.88,190.44,21.64M,-0.82%
2018-06-12,192.28,191.38,192.61,191.15,16.91M,0.55%
2018-06-11,191.23,191.35,191.97,190.21,18.31M,-0.25%
2018-06-08,191.7,191.17,192.0,189.77,26.66M,-0.91%
2018-06-07,193.46,194.14,194.2,192.34,21.35M,-0.27%
2018-06-06,193.98,193.63,194.08,191.92,20.93M,0.35%
2018-06-05,193.31,193.06,193.94,192.36,21.57M,0.77%
2018-06-04,191.83,191.63,193.42,191.35,26.27M,0.84%
2018-06-01,190.24,187.99,190.26,187.75,23.44M,1.80%
2018-05-31,186.87,187.22,188.23,186.14,27.48M,-0.34%
2018-05-30,187.5,187.72,188.0,186.78,18.69M,-0.21%
2018-05-29,187.9,187.6,188.75,186.87,22.51M,-0.36%
2018-05-25,188.58,188.23,189.65,187.65,17.46M,0.23%
2018-05-24,188.15,188.77,188.84,186.21,23.23M,-0.11%
2018-05-23,188.36,186.35,188.5,185.76,20.06M,0.64%
2018-05-22,187.16,188.38,188.88,186.78,15.24M,-0.25%
2018-05-21,187.63,188.0,189.27,186.91,18.40M,0.71%
2018-05-18,186.31,187.19,187.81,186.13,18.30M,-0.36%
2018-05-17,186.99,188.0,188.91,186.36,17.29M,-0.63%
2018-05-16,188.18,186.07,188.46,186.0,19.18M,0.93%
2018-05-15,186.44,186.78,187.07,185.1,23.70M,-0.91%
2018-05-14,188.15,189.01,189.53,187.86,20.78M,-0.23%
2018-05-11,188.59,189.49,190.06,187.45,26.21M,-0.76%
2018-05-10,190.04,187.74,190.37,187.65,27.99M,1.43%
2018-05-09,187.36,186.55,187.4,185.22,23.21M,0.70%
2018-05-08,186.05,184.99,186.22,183.66,28.40M,0.48%
2018-05-07,185.16,185.18,187.67,184.75,42.45M,0.72%
2018-05-04,183.83,178.25,184.25,178.17,56.20M,3.92%
2018-05-03,176.89,175.88,177.5,174.44,34.07M,0.18%
2018-05-02,176.57,175.22,177.75,173.8,66.54M,4.42%
2018-05-01,169.1,166.41,169.2,165.27,53.57M,2.32%
2018-04-30,165.26,162.13,167.26,161.84,42.43M,1.81%
2018-04-27,162.32,164.0,164.33,160.63,35.66M,-1.16%
2018-04-26,164.22,164.12,165.73,163.37,27.96M,0.35%
2018-04-25,163.65,162.62,165.42,162.41,28.38M,0.44%
2018-04-24,162.94,165.67,166.33,161.22,33.69M,-1.39%
2018-04-23,165.24,166.83,166.92,164.09,36.52M,-0.29%
2018-04-20,165.72,170.59,171.22,165.43,65.49M,-4.10%
2018-04-19,172.8,174.95,175.39,172.66,34.81M,-2.83%
2018-04-18,177.84,177.81,178.82,176.88,20.75M,-0.22%
2018-04-17,178.24,176.49,178.94,176.41,26.61M,1.38%
2018-04-16,175.82,175.03,176.19,174.83,21.58M,0.62%
2018-04-13,174.73,174.78,175.84,173.85,25.12M,0.34%
2018-04-12,174.14,173.41,175.0,173.04,22.89M,0.99%
2018-04-11,172.44,172.23,173.92,171.7,22.43M,-0.47%
2018-04-10,173.25,173.0,174.0,171.53,28.61M,1.88%
2018-04-09,170.05,169.88,173.09,169.84,29.02M,0.99%
2018-04-06,168.38,170.97,172.48,168.2,35.01M,-2.56%
2018-04-05,172.8,172.58,174.23,172.08,26.93M,0.69%
2018-04-04,171.61,164.88,172.01,164.77,34.61M,1.91%
2018-04-03,168.39,167.64,168.75,164.88,30.28M,1.03%
2018-04-02,166.68,167.88,168.94,164.47,37.59M,-0.66%
2018-03-29,167.78,167.81,171.75,166.9,38.40M,0.78%
2018-03-28,166.48,167.25,170.02,165.19,41.67M,-1.10%
2018-03-27,168.34,173.68,175.15,166.92,40.92M,-2.56%
2018-03-26,172.77,168.07,173.1,166.44,37.54M,4.75%
2018-03-23,164.94,168.39,169.92,164.94,41.03M,-2.32%
2018-03-22,168.85,170.0,172.68,168.6,41.49M,-1.41%
2018-03-21,171.27,175.04,175.09,171.26,37.05M,-2.27%
2018-03-20,175.24,175.24,176.8,174.94,19.65M,-0.03%
2018-03-19,175.3,177.32,177.47,173.66,33.45M,-1.53%
2018-03-16,178.02,178.65,179.12,177.62,39.40M,-0.35%
2018-03-15,178.65,178.5,180.24,178.07,22.74M,0.12%
2018-03-14,178.44,180.32,180.52,177.81,29.37M,-0.85%
2018-03-13,179.97,182.59,183.5,179.24,31.69M,-0.96%
2018-03-12,181.72,180.29,182.39,180.21,32.21M,0.97%
2018-03-09,179.98,177.96,180.0,177.39,32.19M,1.72%
2018-03-08,176.94,175.48,177.12,175.07,23.77M,1.09%
2018-03-07,175.03,174.94,175.85,174.27,31.70M,-0.93%
2018-03-06,176.67,177.91,178.25,176.13,23.79M,-0.08%
2018-03-05,176.82,175.21,177.74,174.52,28.40M,0.35%
2018-03-02,176.21,172.8,176.3,172.45,38.45M,0.69%
2018-03-01,175.0,178.54,179.78,172.66,48.80M,-1.75%
2018-02-28,178.12,179.26,180.62,178.05,37.78M,-0.15%
2018-02-27,178.39,179.1,180.48,178.16,38.93M,-0.32%
2018-02-26,178.97,176.35,179.39,176.21,38.16M,1.98%
2018-02-23,175.5,173.67,175.65,173.54,33.81M,1.74%
2018-02-22,172.5,171.8,173.95,171.71,30.99M,0.84%
2018-02-21,171.07,172.83,174.12,171.01,37.47M,-0.45%
2018-02-20,171.85,172.05,174.26,171.42,33.93M,-0.34%
2018-02-16,172.43,172.36,174.82,171.77,40.18M,-0.32%
2018-02-15,172.99,169.79,173.09,169.0,51.15M,3.36%
2018-02-14,167.37,163.04,167.54,162.88,40.64M,1.84%
2018-02-13,164.34,161.95,164.75,161.65,32.55M,1.00%
2018-02-12,162.71,158.5,163.89,157.51,60.82M,4.03%
2018-02-09,156.41,157.07,157.89,150.24,70.67M,0.81%
2018-02-08,155.15,160.29,161.0,155.03,54.39M,-2.75%
2018-02-07,159.54,163.09,163.4,159.07,51.61M,-2.14%
2018-02-06,163.03,154.83,163.72,154.0,68.24M,4.18%
2018-02-05,156.49,159.1,163.88,156.0,72.74M,-2.50%
2018-02-02,160.5,166.0,166.8,160.1,86.59M,-4.34%
2018-02-01,167.78,167.16,168.62,166.76,47.23M,0.21%
2018-01-31,167.43,166.87,168.44,166.5,32.48M,0.28%
2018-01-30,166.97,165.53,167.37,164.7,46.05M,-0.59%
2018-01-29,167.96,170.16,170.16,167.07,50.64M,-2.07%
2018-01-26,171.51,172.0,172.0,170.06,39.14M,0.23%
2018-01-25,171.11,174.5,174.95,170.53,41.53M,-1.79%
2018-01-24,174.22,177.25,177.3,173.2,51.11M,-1.59%
2018-01-23,177.04,177.3,179.44,176.82,32.69M,0.02%
2018-01-22,177.0,177.3,177.78,176.6,27.11M,-0.82%
2018-01-19,178.46,178.61,179.58,177.41,32.43M,-0.45%
2018-01-18,179.26,179.37,180.1,178.25,31.19M,0.09%
2018-01-17,179.1,176.15,179.25,175.07,34.39M,1.65%
2018-01-16,176.19,177.9,179.39,176.14,29.57M,-0.51%
2018-01-12,177.09,176.18,177.36,175.65,25.42M,1.03%
2018-01-11,175.28,174.59,175.49,174.49,18.67M,0.57%
2018-01-10,174.29,173.16,174.3,173.0,23.96M,-0.02%
2018-01-09,174.33,174.55,175.06,173.41,21.58M,-0.01%
2018-01-08,174.35,174.35,175.61,173.93,20.57M,-0.37%
2018-01-05,175.0,173.44,175.37,173.05,23.66M,1.14%
2018-01-04,173.03,172.54,173.47,172.08,22.43M,0.46%
2018-01-03,172.23,172.53,174.55,171.96,29.52M,-0.02%
2018-01-02,172.26,170.16,172.3,169.26,25.56M,1.79%
2017-12-29,169.23,170.52,170.59,169.22,26.00M,-1.08%
2017-12-28,171.08,171.0,171.85,170.48,16.48M,0.28%
2017-12-27,170.6,170.1,170.78,169.71,21.50M,0.02%
2017-12-26,170.57,170.8,171.47,169.68,33.19M,-2.54%
2017-12-22,175.01,174.68,175.42,174.5,16.35M,0.00%
2017-12-21,175.01,174.17,176.02,174.1,20.95M,0.38%
2017-12-20,174.35,174.87,175.42,173.25,23.48M,-0.11%
2017-12-19,174.54,175.03,175.39,174.09,27.44M,-1.07%
2017-12-18,176.42,174.88,177.2,174.86,29.42M,1.41%
2017-12-15,173.97,173.63,174.17,172.46,40.17M,1.02%
2017-12-14,172.22,172.4,173.13,171.65,20.48M,-0.03%
2017-12-13,172.27,172.5,173.54,172.0,23.82M,0.33%
2017-12-12,171.7,172.15,172.39,171.46,19.41M,-0.56%
2017-12-11,172.67,169.2,172.89,168.79,35.27M,1.95%
2017-12-08,169.37,170.49,171.0,168.82,23.36M,0.03%
2017-12-07,169.32,169.03,170.44,168.91,25.67M,0.18%
2017-12-06,169.01,167.5,170.2,166.46,28.56M,-0.37%
2017-12-05,169.64,169.06,171.52,168.4,27.35M,-0.09%
2017-12-04,169.8,172.48,172.62,169.63,32.54M,-0.73%
2017-12-01,171.05,169.95,171.67,168.5,39.76M,-0.47%
2017-11-30,171.85,170.43,172.14,168.44,41.53M,1.40%
2017-11-29,169.48,172.63,172.92,167.16,41.67M,-2.07%
2017-11-28,173.07,174.3,174.87,171.86,26.43M,-0.59%
2017-11-27,174.09,175.05,175.08,173.34,20.72M,-0.50%
2017-11-24,174.97,175.1,175.5,174.65,14.03M,0.01%
2017-11-22,174.96,173.36,175.0,173.05,25.59M,1.05%
2017-11-21,173.14,170.78,173.7,170.78,25.13M,1.86%
2017-11-20,169.98,170.29,170.56,169.56,16.26M,-0.10%
2017-11-17,170.15,171.04,171.39,169.64,21.90M,-0.56%
2017-11-16,171.1,171.18,171.87,170.3,23.64M,1.19%
2017-11-15,169.08,169.97,170.32,168.38,29.16M,-1.32%
2017-11-14,171.34,173.04,173.48,171.18,24.78M,-1.51%
2017-11-13,173.97,173.5,174.5,173.4,16.98M,-0.40%
